gene,moduleLPV
Mcavernosa05112,0
Mcavernosa05114,0
Mcavernosa05110,0
Mcavernosa05117,0
Mcavernosa05109,0
Mcavernosa05115,0
Mcavernosa05113,0
Mcavernosa05116,0
Mcavernosa05111,0
Mcavernosa05125,0
Mcavernosa05122,0
Mcavernosa05121,0
Mcavernosa05127,0
Mcavernosa05124,0
Mcavernosa05128,0
Mcavernosa05123,0
Mcavernosa05126,0
Mcavernosa05140,0
Mcavernosa05134,0
Mcavernosa05143,0
Mcavernosa05136,0
Mcavernosa05135,0
Mcavernosa05142,0
Mcavernosa05141,0
Mcavernosa05139,0
Mcavernosa05138,0
Mcavernosa05137,0
Mcavernosa05129,0
Mcavernosa05131,0
Mcavernosa05148,0
Mcavernosa05145,0
Mcavernosa05150,0
Mcavernosa05146,0
Mcavernosa05147,0
Mcavernosa05152,0
Mcavernosa05153,0
Mcavernosa05154,0
Mcavernosa05151,0
Mcavernosa05155,0
Mcavernosa05156,0
Mcavernosa05158,0
Mcavernosa05160,0
Mcavernosa05163,0
Mcavernosa05159,0
Mcavernosa05157,0
Mcavernosa05175,0
Mcavernosa05171,0
Mcavernosa05169,0
Mcavernosa05167,0
Mcavernosa05172,0
Mcavernosa05166,0
Mcavernosa05168,0
Mcavernosa05164,0
Mcavernosa05170,0
Mcavernosa05165,0
Mcavernosa05174,0
Mcavernosa05177,0
Mcavernosa05176,0
Mcavernosa05179,0
Mcavernosa05178,0
Mcavernosa05180,0
Mcavernosa05191,0
Mcavernosa05182,0
Mcavernosa05184,0
Mcavernosa05189,0
Mcavernosa05181,0
Mcavernosa05195,0
Mcavernosa05187,0
Mcavernosa05190,0
Mcavernosa05188,0
Mcavernosa05185,0
Mcavernosa05183,0
Mcavernosa05192,0
Mcavernosa05194,0
Mcavernosa05196,0
Mcavernosa05199,0
Mcavernosa05203,0
Mcavernosa05202,0
Mcavernosa05205,0
Mcavernosa05207,0
Mcavernosa05201,0
Mcavernosa05197,0
Mcavernosa05208,0
Mcavernosa05204,0
Mcavernosa05214,0
Mcavernosa05210,0
Mcavernosa05220,0
Mcavernosa05215,0
Mcavernosa05213,0
Mcavernosa05212,0
Mcavernosa05211,0
Mcavernosa05226,0
Mcavernosa05229,0
Mcavernosa05224,0
Mcavernosa05232,0
Mcavernosa05231,0
Mcavernosa05217,0
Mcavernosa05223,0
Mcavernosa05218,0
Mcavernosa05219,0
Mcavernosa05227,0
Mcavernosa05222,0
Mcavernosa05230,0
Mcavernosa05242,0
Mcavernosa05233,0
Mcavernosa05239,0
Mcavernosa05241,0
Mcavernosa05238,0
Mcavernosa05237,0
Mcavernosa05240,0
Mcavernosa05243,0
Mcavernosa05234,0
Mcavernosa05236,0
Mcavernosa05235,0
Mcavernosa05257,0
Mcavernosa05256,0
Mcavernosa05249,0
Mcavernosa05247,0
Mcavernosa05260,0
Mcavernosa05253,0
Mcavernosa05251,0
Mcavernosa05245,0
Mcavernosa05246,0
Mcavernosa05259,0
Mcavernosa05248,0
Mcavernosa05269,0
Mcavernosa05263,0
Mcavernosa05268,0
Mcavernosa05265,0
Mcavernosa05273,0
Mcavernosa05261,0
Mcavernosa05276,0
Mcavernosa05275,0
Mcavernosa05272,0
Mcavernosa05266,0
Mcavernosa05262,0
Mcavernosa05264,0
Mcavernosa05270,0
