# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 15:25:31 CDT 2019 [seed=1572551891175]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
2000000	-232088.9776353906	-232301.21557535263	-212.23793996203167	0.9670538286027488	-224654.77233876425
2010000	-232075.28334533612	-232287.14260621998	-211.8592608838638	0.9670538286027488	-224641.1505440589
2020000	-232071.39958289528	-232282.5146033239	-211.1150204286345	0.9670538286027488	-224636.65049626588
2030000	-232081.76361162093	-232292.31987470813	-210.55626308719684	0.9670538286027488	-224646.11431258332
2040000	-232069.60212506342	-232281.14291463137	-211.54078956796354	0.9670538286027488	-224635.33802692714
2050000	-232072.69938786194	-232283.7925052193	-211.09311735735616	0.9670538286027488	-224637.88557456402
2060000	-232077.52097252442	-232288.85968059464	-211.33870807020938	0.9670538286027488	-224642.7938971847
2070000	-232072.6941331462	-232285.60198813558	-212.9078549893666	0.9670538286027488	-224639.6952306031
2080000	-232078.30614370434	-232288.8351645989	-210.52902089455824	0.9670538286027488	-224642.74351280468
2090000	-232067.4884638855	-232278.985344523	-211.49688063749966	0.9670538286027488	-224633.2500938622
2100000	-232082.76930400508	-232295.62624352454	-212.85693951947542	0.9348750848354606	-217181.25558144983
2110000	-232067.00771128552	-232280.00124117782	-212.9935298922931	0.9348750848354606	-217166.65705149184
2120000	-232067.6367286613	-232279.8220559958	-212.18532733449064	0.9348750848354606	-217166.4369016066
2130000	-232078.09301414617	-232291.88735589042	-213.79434174425302	0.9348750848354606	-217177.82123679604
2140000	-232074.69432115514	-232284.99394655394	-210.2996253987904	0.9348750848354606	-217171.14916705227
2150000	-232092.86508993382	-232303.9922166833	-211.12712674949503	0.9348750848354606	-217188.9640674065
2160000	-232078.09419218215	-232290.02580769014	-211.93161550799744	0.9348750848354606	-217175.9596118763
2170000	-232081.11103760637	-232291.71007878555	-210.599041179168	0.9348750848354606	-217177.44741116939
2180000	-232066.31529885918	-232278.0797973208	-211.7644984616078	0.9348750848354606	-217164.78070093534
2190000	-232090.2890995421	-232301.47610330879	-211.1870037666884	0.9348750848354606	-217186.61571518768
2200000	-232078.39537381672	-232290.77173855883	-212.37636474211942	0.9348750848354606	-217176.68592831658
2210000	-232077.66325790263	-232289.28730963473	-211.6240517320934	0.9348750848354606	-217175.24917837928
2220000	-232077.3198581963	-232288.69102408443	-211.37116588812722	0.9348750848354606	-217174.6752567057
2230000	-232069.83797048221	-232281.37978088736	-211.54181040515135	0.9348750848354606	-217167.85127081128
2240000	-232091.29730323833	-232303.03288094993	-211.73557771160893	0.9348750848354606	-217188.10683364864
2250000	-232075.33505210164	-232287.18612106712	-211.851068965478	0.9348750848354606	-217173.29961401693
2260000	-232080.04141549667	-232293.6248075466	-213.58339204993416	0.9348750848354606	-217179.43179897958
2270000	-232110.4108379911	-232323.34560797896	-212.93476998786483	0.9348750848354606	-217207.17479334841
2280000	-232075.28776057158	-232287.05294552966	-211.76518495807304	0.9348750848354606	-217173.16951833636
2290000	-232076.65122276914	-232287.50568483808	-210.85446206893693	0.9348750848354606	-217173.53346228483
2300000	-232089.19672913896	-232301.892784193	-212.69605505406022	0.9348750848354606	-217187.10353660173
2310000	-232087.14438134685	-232300.47345723162	-213.32907588477045	0.9348750848354606	-217185.8178686162
2320000	-232091.9589792117	-232302.7195455633	-210.7605663516016	0.9348750848354606	-217187.75040667036
2330000	-232079.7767693422	-232291.8422393947	-212.06547005251483	0.9348750848354606	-217177.66646588605
2340000	-232079.91936807422	-232292.6495297405	-212.73016166630129	0.9348750848354606	-217178.46446950152
